"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000002834",7168.80172554647,0.398604510625824,0.102411413105579,3.89218836590888,9.93440641200831e-05,0.00152588118606922
"ENSG00000002919",250.507676868456,0.39142887730058,0.147019761373834,2.66242356566799,0.00775801867732273,0.0521972648677012
"ENSG00000003096",377.975261226872,-0.92016824710137,0.187042814718202,-4.91955945213769,8.67392196964561e-07,2.42751174879976e-05
"ENSG00000003402",2546.60932638954,1.18344751825219,0.16353912894834,7.23647928090666,4.60481974480316e-13,5.47082294197098e-11
"ENSG00000003987",25.5043393924387,0.988115134809237,0.327203673805555,3.01987787397656,0.00252876628830492,0.0221537731679996
"ENSG00000004059",1225.35049139531,0.369228733492967,0.104190191553363,3.54379551460809,0.000394411022081401,0.00492412133669763
"ENSG00000004487",1237.79398066331,-0.29887792241235,0.0830253341011687,-3.59984004458397,0.000318412990742114,0.00409181802129521
"ENSG00000004700",1035.32737267248,0.366694603037969,0.116680886080872,3.14271356136095,0.00167389555282335,0.0159136740347145
"ENSG00000004799",914.370594679048,2.54405845747004,0.901175648704265,2.82304394390589,0.00475700509138568,0.0359682199809818
"ENSG00000004846",17.9989448799634,-1.88130050944635,0.699834600307833,-2.68820734016127,0.0071836775691577,0.0493425671152701
"ENSG00000004866",412.126309009694,-0.582168519311404,0.178226033255279,-3.26646174342861,0.00108900521074325,0.0113171732256416
"ENSG00000005007",2261.96310265218,0.241537892711445,0.0841542594515022,2.87018024144865,0.00410237881713233,0.0320465382521678
"ENSG00000005100",485.153455516323,0.371229104922846,0.13239890425137,2.80386840829163,0.00504935088505009,0.0376544228082741
"ENSG00000005249",298.0308955353,0.647122946429994,0.215953392267729,2.99658615979378,0.00273021072929653,0.0235268275994364
"ENSG00000005471",33.663699648536,-1.21868726216098,0.434789205454937,-2.80293817526086,0.00506393756838238,0.0377234669586414
"ENSG00000005812",1409.31667247605,0.473678347386812,0.166872554791643,2.8385635251899,0.00453170979885437,0.0346271518447731
"ENSG00000006025",160.283840153,-0.929572153787899,0.250828868588334,-3.70600146234974,0.000210557083082474,0.00289791381536903
"ENSG00000006062",196.877940922506,-0.634308939257651,0.259255125780044,-2.44665920239436,0.0144187103156332,0.0837604260133705
"ENSG00000006114",995.868720506853,-0.514632468061439,0.102241951382848,-5.03347658276185,4.81663678060853e-07,1.44459879991704e-05
"ENSG00000006118",433.934493983581,-0.496135461086561,0.193962895076195,-2.55788851208714,0.0105309848677422,0.0664473057991295
"ENSG00000006283",62.959894863754,-1.37093577344774,0.542909437323776,-2.52516474977051,0.0115644061098738,0.0713190015114955
"ENSG00000006451",1095.51248055838,-0.580327669214505,0.191763001687586,-3.02627547601677,0.00247586621344984,0.0217836007265546
"ENSG00000006607",877.938256158213,0.598097336255322,0.173927472572176,3.43877437767703,0.000584354034266759,0.00677630693515879
"ENSG00000006638",65.7528256356143,-0.650884820883891,0.257975212540521,-2.52305178654192,0.011634126651334,0.0715659444151276
"ENSG00000006788",10.2534484705697,3.16910248474778,1.06737805147337,2.96905344865699,0.00298718633016274,0.0250953632618371
"ENSG00000006831",1093.97929799541,0.241092318047823,0.0817373166917376,2.94959912810784,0.00318186481389545,0.0263344002462403
"ENSG00000007866",1619.47522334358,0.596742543446086,0.16189662108147,3.68594810354807,0.000227852782932607,0.00309830105046996
"ENSG00000007944",339.641943576916,-0.500176733498405,0.145910749248348,-3.4279635741372,0.000608127050356823,0.0070079221729167
"ENSG00000008083",301.246461842996,0.451967500645735,0.140327762865237,3.22079887413142,0.00127833824983951,0.0128356527669558
"ENSG00000008130",1664.46942469032,0.794014123811676,0.14524415287305,5.46675448274795,4.58350211293621e-08,1.81516540666065e-06
"ENSG00000008256",3716.56541790484,1.20463020462431,0.20428846561912,5.89671179414625,3.70816708083392e-09,1.8863507401535e-07
"ENSG00000008311",721.941418739337,1.10779921999179,0.169645697905236,6.53007552605671,6.57365343005981e-11,5.00222429398973e-09
"ENSG00000008441",10802.2094408843,-0.327328013528559,0.134475300824248,-2.4341125212009,0.014928353598768,0.0858192322288195
"ENSG00000008513",1568.48139621963,-0.575918500828438,0.21442901739932,-2.68582353178411,0.00723512902662738,0.0495665554409759
"ENSG00000008710",5426.44350001265,0.491596367339062,0.179389538997331,2.74038480775836,0.00613672891044997,0.0436492324781523
"ENSG00000008853",558.502761960499,0.566925648178996,0.175638498656282,3.22779830456446,0.00124746897988519,0.0125978200823376
"ENSG00000009335",2101.66306480383,0.207606913528094,0.0747586111333533,2.77703010236196,0.00548580980617061,0.0400401060565326
"ENSG00000009413",7584.97488843759,1.1200897173317,0.168354023516991,6.65318056517164,2.86825942477758e-11,2.38999987815743e-09
"ENSG00000009780",174.392830735476,0.587223209491907,0.207384735588078,2.83156427992025,0.0046320922046081,0.0352042830985795
"ENSG00000010017",1856.33980263005,0.737067238326473,0.159655893269844,4.61659900697003,3.90079964401665e-06,9.2568589490421e-05
"ENSG00000010256",1795.21376981209,0.470023405745715,0.11138922600456,4.21964872730574,2.4468326277993e-05,0.000464041429875635
"ENSG00000010278",3881.35889446014,0.569712248125797,0.209410530159363,2.72055205481903,0.00651730097498454,0.0458777130941668
"ENSG00000010310",14.3213083714611,-1.13712256162762,0.467197686764784,-2.43392164353785,0.0149362280365662,0.0858192322288195
"ENSG00000010818",1411.1952346272,-0.348955702990675,0.120641783971612,-2.89249455290537,0.00382195809388708,0.0303237218004871
"ENSG00000011198",1159.40295920204,1.08963971543415,0.20200326304012,5.39416888140929,6.88414477339762e-08,2.57143054771029e-06
"ENSG00000011304",3588.8891154281,0.34716324724044,0.120196708623437,2.88829246005449,0.00387339545225922,0.0306525901389572
"ENSG00000011347",148.299121469337,-0.935507465896217,0.230261341611324,-4.06280732731652,4.84860489538078e-05,0.000825203873830287
"ENSG00000011405",1505.09277087934,0.354645116827796,0.150218245262864,2.36086579368045,0.0182323274162083,0.099422063775385
"ENSG00000011454",2319.16145318752,0.44776766470236,0.157857527259071,2.8365303351515,0.00456066456596795,0.0347417967024349
"ENSG00000011478",141.609420827459,0.687463728937353,0.163681887358457,4.19999879053102,2.66916406117987e-05,0.000497496520107563
"ENSG00000011485",966.621841704382,0.55174851815789,0.111151964888434,4.96391151260074,6.90874297867455e-07,1.98478162172062e-05
"ENSG00000011566",1396.11971766781,0.818816447251039,0.177238797270788,4.61984881335005,3.84019766632808e-06,9.18367325387925e-05
"ENSG00000012048",221.109604822104,-1.2093862742655,0.173819178309675,-6.95772633391963,3.45808118006135e-12,3.47960115344857e-10
"ENSG00000012171",1267.54440212009,-0.749432609846852,0.189094907654044,-3.9632617247312,7.39326516154085e-05,0.00118183140581402
"ENSG00000012660",2382.64821347043,0.422498751784752,0.15744494106649,2.68346984617516,0.00728625455149386,0.0498426365400295
"ENSG00000012822",6054.72432546938,0.420426500861536,0.147330175678226,2.85363469449573,0.0043222200822731,0.0333306879460046
"ENSG00000013293",244.49400651336,-2.83697519971884,0.359762783549573,-7.88568281501502,3.12820255606459e-15,4.61665473926506e-13
"ENSG00000013297",3431.54455302823,-1.7160889212986,0.263088947957616,-6.52284687221093,6.89852832395137e-11,5.2064097985887e-09
"ENSG00000013523",345.191193806116,-0.307288538979543,0.114015305621133,-2.69515164920617,0.00703566018826687,0.0485613502124942
"ENSG00000013561",887.46459467455,0.316527717109519,0.111909796069872,2.82841831748037,0.00467786368996767,0.0354935557687494
"ENSG00000013583",1388.1161207928,0.39426101521865,0.139822675003425,2.81972158814007,0.00480653322532748,0.0362309903169896
"ENSG00000013619",1098.1940217983,0.348336525039941,0.129559895716049,2.68861381150981,0.0071749372524875,0.0493009214569244
"ENSG00000014216",3449.76379265088,0.266477630013978,0.0822242664036738,3.2408635755499,0.00119168199808212,0.0121443408935707
"ENSG00000015153",229.952714103994,0.406333831689081,0.167808495500801,2.42141394853958,0.015460260908518,0.0882519233200124
"ENSG00000015520",17.5126902473431,-2.56038268348622,0.71864296209232,-3.56280214034477,0.000366917228947053,0.00461844208548188
"ENSG00000016391",92.1101048399364,-2.04305261855456,0.453262551797745,-4.50743748948891,6.56152527831777e-06,0.00014540371600508
"ENSG00000017483",445.784249560586,-0.958665845827371,0.266633035076896,-3.59545037452278,0.000323830856984027,0.00415564127620966
"ENSG00000017797",3342.93535390918,0.565273561081722,0.102986482188093,5.48881318277592,4.04643309358113e-08,1.62342190453805e-06
"ENSG00000018189",992.699923891302,-0.31068184085174,0.106780788656584,-2.90952937097063,0.00361973373708481,0.0291547284684826
"ENSG00000019144",2982.94381776518,0.365261188036164,0.134358767699203,2.7185511916416,0.00655685087450793,0.0460680690019319
"ENSG00000019186",14.0875173434919,-4.42929460635006,1.03620576834656,-4.27453189477777,1.91539285998561e-05,0.000375233611879095
"ENSG00000019991",1197.68341734955,-0.980616503521488,0.223669105151997,-4.38422867054035,1.16397457335373e-05,0.000243574906458056
"ENSG00000019995",2078.3873287699,0.920589051272322,0.113451877258063,8.11435714878747,4.88363140147398e-16,8.0296493087628e-14
"ENSG00000020129",1036.8335125675,-0.495378250612846,0.154031645443203,-3.21608101495943,0.00129954140287294,0.0130060081162528
"ENSG00000020577",3104.99903050483,1.20711583817257,0.147996952613098,8.15635603881847,3.45283622320429e-16,5.94242794862682e-14
"ENSG00000021355",621.896804948447,0.591500688861543,0.100966384556672,5.85839229025315,4.67369585410434e-09,2.30740239016974e-07
"ENSG00000021645",35.9586783335188,1.86917428202071,0.62991497664206,2.96734377071786,0.00300384895866208,0.0252008558422607
"ENSG00000021762",1366.05681756591,0.417960186344335,0.176122437231198,2.37312288493756,0.0176383945552045,0.0972197053978125
"ENSG00000021776",1158.88409660431,0.226683513361389,0.0956621875411166,2.3696250230945,0.0178061338484684,0.0977930077004309
"ENSG00000022267",10395.0119353129,0.509136415444822,0.17826718382279,2.8560299463245,0.00428974671711335,0.0331496793099632
"ENSG00000022840",2666.07537825459,0.27592510389433,0.0820684607462741,3.36213328951533,0.000773427801918057,0.00857475796045817
"ENSG00000023318",1403.07368956816,0.228892995511903,0.0889868369539894,2.5722118388167,0.0101051039093338,0.0644543893721589
"ENSG00000023608",233.12305322977,0.731451520515954,0.221565518291855,3.30128770106031,0.00096242139080676,0.0102267685583996
"ENSG00000023697",480.853850031043,0.31817304202475,0.105323456541753,3.02091340781829,0.00252013419999567,0.0221022087780624
"ENSG00000023902",704.741613136297,0.414973038338972,0.162340828327049,2.5561840642021,0.0105827123154726,0.0666939402378597
"ENSG00000023909",1927.70386518774,1.24618872983959,0.200005625048938,6.23076840731187,4.6415284575785e-10,2.93724214935766e-08
"ENSG00000025423",169.201816463876,-2.18444908371564,0.506073604526547,-4.3164651627292,1.58547689861697e-05,0.000318739706201218
"ENSG00000025708",144.696986437221,1.27469002901987,0.312291924950725,4.08172586986037,4.47025046817358e-05,0.000772229478155877
"ENSG00000026297",95.6785022756186,-0.439109178669402,0.173540191003208,-2.53030249725428,0.0113964225748359,0.0704718340213577
"ENSG00000026950",733.921336022358,-0.885318355458392,0.139663197073955,-6.33895237977113,2.31332719127117e-10,1.56043663836112e-08
"ENSG00000027697",1439.3409520837,0.403447747155683,0.137298162711119,2.93847884916387,0.00329827162196442,0.0271685395465592
"ENSG00000028137",518.903246510734,0.809608276205692,0.215130426307707,3.76333692123906,0.0001676610752294,0.00238599590444313
"ENSG00000028277",34.4572720229068,-2.01648203829498,0.519974336989031,-3.87804146252995,0.000105300773802134,0.00160788868123242
"ENSG00000028839",420.301570494487,-0.337594611154354,0.13792257430549,-2.447711064373,0.0143766893563446,0.0835690449801405
"ENSG00000031081",329.247231674366,-0.682345480631754,0.218661417739085,-3.12055728755017,0.00180509183520737,0.0168820549239937
"ENSG00000031698",2847.43340656206,-0.534394291380023,0.0947619681978117,-5.63933296810063,1.70710153669491e-08,7.50269088263409e-07
"ENSG00000031823",1526.64648524344,-0.393582159267291,0.117257934834146,-3.35655032492248,0.000789213565889685,0.00872874943895409
"ENSG00000032742",221.767146573825,-0.641730188986478,0.143850496481776,-4.4610912348695,8.15433631561542e-06,0.000176869379566617
"ENSG00000033327",1291.53780207739,0.37914055657736,0.128172897701177,2.95803998643528,0.00309601959694044,0.0258095069613663
